NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
Coupe, Rue de la    /   Albatros, Rue de l'    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.379487|46.864870
Rocheleau, Rue    /   Riopelle, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.219500|46.880614
Moulin Est, Rue du    /   De Constance, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.349064|46.756905
Saint-Jacques, Boulevard    /   Bresseau, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.346603|46.853511
Trinité, Rue de la    /   De Villebon, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.221134|46.834167
Montagne Ouest, Avenue de la    /   Donatello, Rue    --   Québec|Non déterminé|-71.441754|46.835554
Henri-Bourassa, Boulevard ( Côté Est )   /   Boulevard Henri-Bourassa, Bretelle    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.217201|46.831236
Beaucage, Rue    /   Pruneau, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.267631|46.812865
Johnny-Parent, Pont ( Côté Sud )   /   Johnny-Parent, Boulevard    --   Québec|Aucun contrôle|-71.348060|46.849196
Provancher, Rue    /   Sapinière, Rue de la    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.345721|46.757509
Scie, Rue de la    /   Marcelle-Gauvreau, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.346634|46.760651
Sapinière, Rue de la    /   Eugène-Robitaille, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.343815|46.759638
Sapinière, Rue de la    /      --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.343125|46.759133
